"NAME","TEAM"
"Atlanta","ATL"
"Arizona","ARI"
"Baltimore","BAL"
"Buffalo","BUF"
"Carolina","CAR"
"Chicago","CHI"
"Cincinnati","CIN"
"Cleveland","CLE"
"Dallas","DAL"
"Denver","DEN"
"Detroit","DET"
"Green Bay","GB"
"Houston","HOU"
"Indianapolis","IND"
"Jacksonville","JAC"
"Kansas City","KC"
"Miami","MIA"
"Minnesota","MIN"
"New England","NE"
"New Orleans","NO"
"N.Y. Giants","NYG"
"N.Y. Jets","NYJ"
"Oakland","OAK"
"Philadelphia","PHI"
"Pittsburgh","PIT"
"San Diego","SD"
"San Francisco","SF"
"Seattle","SEA"
"St. Louis","STL"
"Tampa Bay","TB"
"Tennessee","TEN"
"Washington","WAS"
